Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,19.2,8.4,0.2,10.6,7.15
2. AC Milan,15.8,7.2,0.1,8.4,7.06
3. Udinese,13.8,6.6,0,7.2,7.01
4. Napoli,13.8,6.1,0.1,7.7,6.98
5. Inter,15.8,8.3,0.1,7.4,6.97
6. Lazio,13.2,5.7,0,7.5,6.92
7. Roma,16.3,8.4,0.1,7.9,6.91
8. Parma Calcio 1913,13.7,6.5,0.1,7.2,6.91
9. Catania,14.5,7.1,0.1,7.3,6.90
10. Bologna,11.8,6.2,0.1,5.5,6.90
11. Fiorentina,13.4,7.1,0.1,6.3,6.90
12. Cagliari,12.7,6.2,0.2,6.2,6.90
13. Chievo,11.5,4.9,0,6.6,6.88
14. Lecce,11.4,5.2,0.1,6.2,6.86
15. Robur Siena,10.3,4.6,0.1,5.7,6.84
16. Atalanta,10.9,4.7,0.1,6.2,6.84
17. Genoa,11.5,5.6,0.4,5.4,6.82
18. Palermo FC,13.1,6.8,0.1,6.2,6.81
19. Novara,12.4,6.3,0.1,6.1,6.79
20. Cesena,12.1,7.1,0,4.9,6.74
