R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Pescara,52,11,10,8,3
2,Inter,39,5,5,7,1
3,Torino,36,1,11,7,0
4,Bologna,34,5,9,4,0
5,Roma,33,7,11,4,1
6,Atalanta,33,1,17,3,2
7,Catania,31,2,8,4,1
8,Cagliari,28,2,15,5,2
9,Genoa,28,4,13,5,2
10,Palermo FC,26,7,11,9,1
11,Robur Siena,26,7,19,5,0
12,Sampdoria,25,7,13,6,0
13,Udinese,25,5,8,6,1
14,Parma Calcio 1913,25,6,11,3,1
15,Chievo,24,8,17,1,2
16,Lazio,22,2,14,4,0
17,Fiorentina,21,4,14,4,1
18,Napoli,20,2,10,2,2
19,AC Milan,17,3,12,6,1
20,Juventus,10,7,2,5,0
