R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Pescara,25,6,64,434
2,Robur Siena,25,4,66,419
3,Chievo,24,3,67,401
4,Sampdoria,25,4,66,389
5,Catania,26,4,60,388
6,Torino,22,3,54,386
7,Atalanta,22,3,59,380
8,Genoa,26,4,64,378
9,Udinese,22,4,54,370
10,Palermo FC,24,4,64,364
11,Inter,21,4,55,361
12,Lazio,21,3,60,361
13,Cagliari,26,2,60,355
14,Bologna,22,4,56,354
15,Parma Calcio 1913,21,4,61,353
16,Roma,22,4,60,327
17,Juventus,17,3,67,317
18,Fiorentina,18,3,57,315
19,Napoli,22,4,58,312
20,AC Milan,17,3,54,305
