R,Team,Own Third,Middle Third,Opposition Third
1,Torino,30%,47%,23%
2,Pescara,30%,46%,24%
3,Cagliari,29%,46%,25%
4,Atalanta,29%,43%,28%
5,Sampdoria,28%,44%,28%
6,Chievo,28%,47%,26%
7,Palermo FC,28%,45%,27%
8,Genoa,28%,45%,26%
9,Catania,28%,47%,25%
10,Bologna,27%,47%,27%
11,Inter,27%,46%,27%
12,Udinese,27%,48%,25%
13,Robur Siena,27%,46%,26%
14,Napoli,26%,47%,27%
15,Lazio,25%,47%,27%
16,Fiorentina,25%,44%,30%
17,Parma Calcio 1913,25%,46%,29%
18,Roma,25%,44%,30%
19,AC Milan,24%,45%,30%
20,Juventus,24%,43%,32%
