R,Team,Left Side,Attempts from the middle,Right Side
1,Inter,23%,53%,24%
2,Fiorentina,22%,58%,20%
3,Napoli,22%,61%,18%
4,Parma Calcio 1913,21%,61%,18%
5,Sassuolo,21%,63%,16%
6,Lazio,20%,63%,17%
7,Chievo,20%,62%,18%
8,Empoli,20%,61%,19%
9,Genoa,20%,61%,19%
10,Atalanta,20%,64%,16%
11,Juventus,19%,60%,20%
12,Roma,19%,62%,19%
13,AC Milan,19%,60%,21%
14,Palermo FC,19%,61%,19%
15,Sampdoria,18%,61%,21%
16,Udinese,18%,65%,18%
17,Verona,17%,64%,19%
18,Cesena,17%,66%,17%
19,Cagliari,16%,62%,22%
20,Torino,15%,67%,18%
