Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,15.8,5.3,10.7,13.2,7.04
2. Lazio,14.5,5.6,9.9,12,6.99
3. Inter,16.2,4.8,11.4,12.8,6.94
4. Roma,13.8,4.6,11.1,13.4,6.93
5. Fiorentina,16.2,5.3,10.1,14.6,6.92
6. Napoli,16.4,6.2,8,12.7,6.87
7. Genoa,12.9,4.6,10.4,16.4,6.86
8. Sampdoria,13.2,4.1,9.1,15.8,6.84
9. Torino,14.4,4.4,8.9,13.9,6.81
10. Palermo FC,12.6,4,10.6,14.4,6.81
11. AC Milan,11.8,3.9,7.7,16.2,6.80
12. Sassuolo,11.8,4,6.9,17.6,6.77
13. Chievo,12.1,3.6,6.8,15.2,6.76
14. Cagliari,13,4.7,11.7,16.3,6.74
15. Empoli,13.6,4.4,11.2,16.1,6.74
16. Verona,12.1,4.1,6.3,13.4,6.72
17. Udinese,11.2,3.2,7.3,13.3,6.71
18. Atalanta,12.1,3.4,6.7,15.9,6.70
19. Cesena,9.5,3,6.1,14.7,6.61
20. Parma Calcio 1913,11,2.9,7.1,12.7,6.53
