Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,74,15.8,906,54.9,85.3,12.9,7.07
2. Napoli,79,17.3,692,59.3,85.8,12.9,6.97
3. Roma,84,15.3,795,55.7,83.0,15.6,6.94
4. Fiorentina,59,15.1,933,59.0,85.7,10.8,6.87
5. AC Milan,49,14.4,923,52.1,79.8,14.2,6.86
6. Genoa,47,12.3,819,50.0,77.6,16.4,6.86
7. Inter,50,13.6,8912,53.4,82.4,14.1,6.85
8. Sassuolo,49,12.8,906,50.9,77.7,14.6,6.81
9. Lazio,52,13.6,9510,53.3,80.0,14.4,6.79
10. Chievo,45,11.2,1034,46.4,75.7,16.1,6.76
11. Atalanta,39,11.9,9614,48.6,76.1,15,6.76
12. Torino,51,12.4,953,48.4,81.2,11.2,6.75
13. Empoli,40,12.6,926,52.4,82.1,10.4,6.75
14. Bologna,33,10.1,887,47.0,77.8,14.4,6.73
15. Sampdoria,48,11.4,1027,49.6,79.4,9.9,6.71
16. Carpi,33,11.3,1056,41.3,69.2,13.9,6.71
17. Udinese,34,11.7,977,45.3,74.9,17.4,6.68
18. Palermo FC,40,10.8,956,44.4,76.1,13.1,6.67
19. Verona,35,11.9,897,45.7,74.9,14.4,6.61
20. Frosinone,35,12.8,1085,42.4,68.9,15.2,6.60
