R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Juventus,57,2,19,4,4
2,Lazio,55,5,17,9,3
3,Napoli,48,3,16,6,4
4,Roma,41,1,11,3,5
5,Torino,38,4,11,0,1
6,Inter,38,1,19,6,2
7,AC Milan,38,1,11,4,2
8,Sampdoria,38,1,10,7,0
9,Fiorentina,37,1,8,7,1
10,Atalanta,35,3,14,5,0
11,Udinese,28,3,7,7,3
12,Crotone,28,1,7,2,2
13,Chievo,27,1,7,1,0
14,Bologna,20,6,9,2,3
15,SPAL 2013,20,1,11,5,2
16,Genoa,20,1,6,4,2
17,Cagliari,19,1,9,4,0
18,Benevento,16,2,12,2,1
19,Sassuolo,16,1,7,4,1
20,Verona,11,5,7,7,0
