R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Napoli,21,2,57,554
2,Inter,29,1,53,512
3,Atalanta,21,1,54,485
4,Juventus,23,2,61,473
5,Sampdoria,17,1,51,466
6,AC Milan,20,1,55,458
7,Sassuolo,17,1,51,437
8,Lazio,19,1,57,423
9,Roma,23,1,58,400
10,Empoli,17,1,57,389
11,Cagliari,21,1,66,387
12,SPAL 2013,23,0,52,375
13,Fiorentina,21,1,58,355
14,Torino,20,1,64,343
15,Chievo,18,0,65,331
16,Bologna,20,0,58,320
17,Frosinone,21,0,62,308
18,Udinese,15,1,59,306
19,Genoa,21,1,64,300
20,Parma Calcio 1913,14,1,63,264
