R,Team,Left Side,Middle of the pitch,Right Side
1,Verona,42%,24%,33%
2,Fiorentina,40%,26%,34%
3,Lecce,39%,25%,36%
4,Napoli,39%,27%,34%
5,Torino,38%,28%,34%
6,Lazio,38%,31%,31%
7,Udinese,37%,26%,37%
8,AC Milan,37%,28%,35%
9,Atalanta,37%,25%,37%
10,Sassuolo,37%,30%,33%
11,Bologna,36%,25%,39%
12,Inter,36%,28%,36%
13,Genoa,36%,27%,37%
14,SPAL 2013,36%,26%,38%
15,Cagliari,35%,26%,39%
16,Parma Calcio 1913,35%,25%,39%
17,Sampdoria,34%,28%,38%
18,Roma,33%,31%,36%
19,Juventus,33%,28%,39%
20,Brescia,31%,25%,44%
