R,Team,Left Side,Attempts from the middle,Right Side
1,Torino,21%,66%,14%
2,Verona,21%,67%,12%
3,Spezia,21%,64%,16%
4,Lazio,20%,69%,11%
5,Genoa,20%,62%,18%
6,Bologna,19%,65%,16%
7,Sassuolo,19%,64%,17%
8,Napoli,19%,64%,17%
9,Juventus,18%,66%,16%
10,Atalanta,18%,67%,16%
11,Roma,17%,72%,12%
12,AC Milan,17%,72%,11%
13,Benevento,17%,66%,17%
14,Crotone,17%,65%,18%
15,Sampdoria,16%,64%,20%
16,Udinese,16%,69%,16%
17,Fiorentina,15%,71%,14%
18,Inter,15%,74%,10%
19,Parma Calcio 1913,14%,73%,13%
20,Cagliari,13%,71%,16%
