Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Arsenal,16.1,6.1,0.9,9,7.15
2. Manchester City,17.6,6,0.8,10.8,7.07
3. Chelsea,14.8,6.1,1.1,7.7,7.06
4. Manchester United,13.5,5.3,1,7.2,6.99
5. Southampton,13.4,5.1,0.8,7.6,6.91
6. Liverpool,15.5,7.5,0.7,7.4,6.90
7. Tottenham,13.9,7.2,0.7,6,6.89
8. Stoke,13.2,6.3,1.1,5.8,6.87
9. Swansea,11.2,5.3,0.5,5.3,6.86
10. West Ham,12.9,4.6,1.2,7,6.85
11. Leicester,12,4.4,0.8,6.8,6.84
12. Crystal Palace,11.6,4.4,1.2,6.1,6.83
13. Everton,12.7,6.3,0.6,5.9,6.82
14. Burnley,11.3,4.7,0.8,5.8,6.79
15. West Bromwich Albion,10.8,5,0.9,4.9,6.77
16. Queens Park Rangers,14.1,7.1,1,6,6.77
17. Hull,11.3,4.9,0.6,5.8,6.76
18. Sunderland,10.7,5.1,0.8,4.9,6.75
19. Newcastle United,12.3,5.3,1,6,6.74
20. Aston Villa,11,4.4,0.6,5.9,6.69
